BuchungsDatum,ArtikelNr,Quantity,Postenart,Source No_
2020-06-25,item x,1855.39,Zugang,part x
2020-07-02,item x,1049.64,Zugang,part x
2020-07-06,item x,-10.23,Verbrauch,part x
2020-07-06,item x,-6.5,Verbrauch,part x
2020-07-06,item x,-2.86,Verbrauch,part x
2020-07-07,item x,-0.95,Verbrauch,part x
2020-07-09,item x,-3.63,Verbrauch,part x
2020-07-09,item x,-0.59,Verbrauch,part x
2020-07-16,item x,-4.01,Verbrauch,part x
2020-07-16,item x,-2.74,Verbrauch,part x
2020-07-20,item x,-3.06,Verbrauch,part x
2020-07-20,item x,-2.44,Verbrauch,part x
2020-07-09,item x,163.93,Zugang,part x
2020-07-20,item x,-1.27,Verbrauch,part x
2020-07-20,item x,-2.75,Verbrauch,part x
2020-07-21,item x,-1.78,Verbrauch,part x
2020-07-22,item x,-0.2,Verbrauch,part x
2020-07-22,item x,-0.59,Verbrauch,part x
2020-07-23,item x,-2.77,Verbrauch,part x
2020-07-23,item x,-2.76,Verbrauch,part x
2020-07-23,item x,-2.09,Verbrauch,part x
2020-07-23,item x,-1.51,Verbrauch,part x
2020-07-23,item x,-1.14,Verbrauch,part x
2020-07-22,item x,-2.17,Verbrauch,part x
2020-07-24,item x,-2.45,Verbrauch,part x
2020-07-24,item x,-2.81,Verbrauch,part x
2020-07-24,item x,-1.22,Verbrauch,part x
2020-07-24,item x,-1.43,Verbrauch,part x
2020-07-24,item x,-3.72,Verbrauch,part x
2020-07-24,item x,-2.49,Verbrauch,part x
2020-07-24,item x,-2.55,Verbrauch,part x
2020-07-24,item x,-0.98,Verbrauch,part x
2020-07-24,item x,-0.21,Verbrauch,part x
2020-07-24,item x,-2.95,Verbrauch,part x
2020-07-27,item x,-3.54,Verbrauch,part x
2020-07-28,item x,-2.96,Verbrauch,part x
2020-07-28,item x,-1.22,Verbrauch,part x
2020-07-27,item x,-2.35,Verbrauch,part x
2020-07-29,item x,-8.45,Verbrauch,part x
